CRUISE,VESSEL,HAUL,GEAR,CODEND,5,4,1,3,2
202301,162,1,44,Open,PB40,SB40,C,PC,SC
202301,162,2,44,Open,PB40,SB40,C,PC,SC
202301,162,3,44,Open,PB50,SB50,C,PC,SC
202301,162,4,44,Open,PB40,SB40,C,PC,SC
202301,162,5,44,Open,PB40,SB40,C,PC,SC
202301,162,6,44,Open,PB40,SB40,C,PC,SC
202301,162,7,44,Open,PB50,SB50,C,PBWT,SBWT
202301,162,8,44,Open,PB50,SB50,C,PBWT,SBWT
202301,162,9,44,Open,PB40,SB40,C,PC,SC
202301,162,10,44,Open,PB40,SB40,C,PC,SBWT
202301,162,11,44,Open,PB50,SB50,C,PBWT,SBWT
202301,162,12,44,Open,PB50,SB50,C,PBWT,SBWT
202301,162,13,44,Open,PB40,SB40,C,PC,SC
202301,162,14,44,Closed,PB40,SB40,C,PC,SC
202301,162,15,172,Open,PB40,SB40,C,PC,SC
202301,162,16,172,Open,PB40,SB40,C,PC,SC
202301,162,17,172,Open,PB40,SB40,C,PC,SC
